,created_at,text,ticker
63,2020-06-09 07:44:58+00:00,"Remember the turn? Now start preparing for the greatest market crash in history. I say it like I see it. 

$TSLA $SPY $GILD $ABBV $PFE $TEVA $TDOC $VIX $VXX $UVXY $SVXY $SPX $GOOG $AMZN $FB https://t.co/OhukyvRnIm",TSLA
66,2020-06-29 15:55:20+00:00,"$AMZN Amazon to Pay $500M Bonuses to Employees Who Worked in June

https://t.co/KBf02J6Sk1",AMZN
79,2020-07-06 02:31:16+00:00,"$GOOG $AAPL $SPY $AMZN $TDOC $TSLA $COST $BA $NFLX $NVDA $TWTR $ZM $BABA $FB $DOW $MSFT $QQQ $BB
To enhance your experience in trading and get instant help click here https://t.co/waJXnpA7xo https://t.co/p94fTX4VO5",TWTR
82,2020-07-09 14:53:48+00:00,RT @AlertTrade: #algotrading #algotrade $SPX $SPY $AMZN $AAPL $FB $SHOP $NVDA $GOOGL $PAYX $ASPU $SMPL $WBA $BBBY $LEVI $SGH $MSM $HELE $AZ…,WBA
83,2020-06-02 15:33:15+00:00,Dow rises as Wall Street focuses on easing coronavirus lockdowns amid civil unrest https://t.co/SUw6IaN5Kz $SFIX $PFE $CSCO $STX $DKS $ZM,STX
89,2020-07-06 07:03:47+00:00,RT @kpak82: $AAPL (weekly) https://t.co/vKGRLlIrkD,AAPL
91,2020-04-14 21:45:16+00:00,#NetWire #RAT Targeting Taxpayers is Spreading via Legacy #Microsoft #Excel 4.0 #Macro $MSFT https://t.co/1yvirAzJf4 #Security #INFOSEC #NETSEC #Cybersecurity #APPSEC,MSFT
92,2020-07-09 21:56:24+00:00,Proud owner of $AMZN stock. This thing might help me retire next year ...and pay for my yacht,AMZN
96,2020-07-02 05:30:13+00:00,$AMZN - Amazon establishes new aerospace cloud unit https://t.co/iU2uOt4XDb,AMZN
98,2020-07-04 23:01:07+00:00,"$FB Sentiment is neutral right now.
News mentions: positive (7), negative (27), neutral (38)
Sentiment score: +0.111 (scale of -1.5 to +1.5)
Stock alerts, news, and research tools at https://t.co/Qkw92RLxV8",FB
100,2020-07-01 21:06:35+00:00,"@bostonchaahhts If “best qtr since 87” doesn’t make you a little nervous, then by all means keep buying $TSLA $AMZN $NFLX $RDFN $CMG. Otherwise now may be a good time to take a little off here. #justsaying 

cc: @mchaudhry82 @traderstewie @Terri1618 @johnscharts https://t.co/QT4F4t1Jn5",TSLA
102,2020-06-26 18:16:05+00:00,"RT @Investingcom: *BREAKING:

*FACEBOOK SHARES TUMBLE 8% AMID ADS BOYCOTT

$FB https://t.co/2fTlsYo3l2",FB
104,2020-04-15 23:00:07+00:00,"$JPM $C $FISV $WFC:

Stimulus Payments Slow Down Online Banking:

https://t.co/8bsaP4P9C2",JPM
105,2020-05-08 20:06:26+00:00,"RT @Stash: It’s been a week. Treat yo’ self.
$JNJ #StashStockParty

May Fest. Day 6 🧴➡️https://t.co/96ocgRtnHN https://t.co/64jJxDy0qB",JNJ
106,2020-04-15 13:49:55+00:00,"$WMT tends to act quite strong during recessions...

Something to keep in mind for the ppl pointing to $AMZN as a reason to be bullish on the economy...

Despite its worthless industry classification, most don't use it as a 'discretionary'... It's $WMT online...",WMT
108,2020-04-28 22:52:46+00:00,VF $VFC Research Coverage Started at BTIG Research https://t.co/zKoR3WIqU8 #stocks,VFC
109,2020-04-09 20:17:34+00:00,Twitter to Share More Data About Users With Advertisers @themotleyfool #stocks $TWTR https://t.co/FP4E8ZZgs0,TWTR
113,2020-07-08 08:22:19+00:00,"GlaxoSmithKline ... sounds like a snobby law firm. It's #ThatOneAMCall and $GSK picking up $757 million; $PM tacking on another billion dollars, premarket. 

Tuesday*
Big sharks, taking out $2.4 million in call options, $EIX*

Dow futures, nice overnight rebound. Eyes: $MSFT https://t.co/F4lOMwY4Fz https://t.co/qqFhvGYp1S",PM
115,2020-07-13 20:46:22+00:00,"$BIDU $SAVE $WORK $T $AAPL $C $MSFT 
$XLF $SPY $FB $CHWY $PTON $DIS $F $ADBE $CSCO $JPM $CCL $MGM $IWM $HD $V $TWTR $XLE $XOM

To enhance your experience in trading and get instant help click here https://t.co/o02HlQ7vQI https://t.co/hIMMPsGVB0",DIS
118,2020-04-13 20:18:54+00:00,$RCL lost over 16% and is Monday's worst performing $SPX #stock; $NCLH lost over 12% and $HOG lost over 9% while $TDG $CAT $GPS $SIVB $UAL and $LB all closed down over 8% on the day #trading,UAL
126,2020-06-25 15:32:44+00:00,"$AAPL company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcEdMH https://t.co/J1Mx4dHQ5W https://t.co/MObF3kE7iy",AAPL
127,2020-05-06 02:32:50+00:00,"RT @SeekingAlpha: $ATVI - Activision Blizzard, Inc. 2020 Q1 - Results - Earnings Call Presentation. https://t.co/XB1qhvvJBu #finance #busin…",ATVI
128,2020-06-26 17:51:53+00:00,Definitely $T ....invested in some today 😬 https://t.co/HFBYnKHM27,T
129,2020-06-03 20:43:06+00:00,$XOM breaking out https://t.co/pdCbo8y4pv,XOM
131,2020-06-10 13:13:50+00:00,"Target Locked $CHRW 
Sold at $83.09 
Take Profit: $81.28 
Stop Loss: $83.92 
Trade with us:https://t.co/injT0PPxiC 
$TSLA $SPY $AAPL #Forex https://t.co/DVQQxs2QKh",TSLA
138,2020-06-19 18:10:39+00:00,@zerohedge Some point soon this class of “investor” will be selling their $AAPL &amp; $MSFT to funnel more money into their sh!tty penny stocks as they fall back to pennies from dollars.  Need the unemployment benefits to cease paying 19-year-olds who live at home to gamble,MSFT
141,2020-07-06 06:29:28+00:00,RT @LiviamCapital: 1/ $FB is still remarkably cheap at these prices with long runway of growth. Recent advertising boycott is immaterial ye…,FB
153,2020-06-18 03:18:02+00:00,Short sale volume(not short interest) for $AMZN on 2020-06-17 is 48%. https://t.co/YZjq8XgqP8 $WMT 42% $OSTK 48% $MELI 56%,WMT
154,2020-06-25 14:03:33+00:00,"@gamesblazer06 Been loading up on $XLF while everyone was prophesying doom, happy to keep accumulating. Did the same with $JPM below 90 and $GS under 175.",JPM
157,2020-04-22 22:45:49+00:00,@itsbigD18 @Royal_Bloo @CalebGregory304 Yeah I’m not chasing dividend yield just to say I have it. $T lost a bunch of cable subscribers too.,T
159,2020-07-13 16:11:35+00:00,Political prophet Allan Lichtman: Trump is more ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc #foxbusiness #business #money #entrepreneur #trading #investing #investment #stock #stockmarket #forex #crypto #cryptocurrency #Bitcoin #Ethereum #Coinbase #Robinhood https://t.co/3qgDvxsdVz,TSLA
162,2020-05-05 21:19:31+00:00,"Mastercard $MA settled +1.7% to $273.98, and that made for a black candle, as the 200dma remains powerful resistance. I do not believe the financials are being fully priced for loan defaults. @th3gambler https://t.co/iiUx1l0Ov3",MA
164,2020-04-17 10:59:07+00:00,"$KMX #CarMax Inc. ... Used Auto Industry Sales Likely Have Bottomed, but Profitability Has Not: | https://t.co/rtkdfeEO4F #equity #stocks https://t.co/OrmiBr9ghb",KMX
165,2020-07-16 17:50:52+00:00,UnitedHealth Group $UNH Price Target Raised to $357.00  https://t.co/2dL5wCoEUd,UNH
166,2020-07-11 17:26:56+00:00,"RT @eWhispers: #earnings season begins 

https://t.co/lObOE0dgsr 

$JPM $PEP $NFLX $WFC $DAL $DPZ $C $BAC $UNH $JNJ $FAST $GS $ABT $FRC $TS…",WFC
170,2020-07-14 11:50:20+00:00,RT @CNBC: JPMorgan reported Q2 results that beat analysts’ expectations. Trading revenue surged 79%. https://t.co/KTEVe7ZX2M $JPM https://t…,JPM
173,2020-07-03 22:01:23+00:00,Imagine reading up on $Oil $AAPL $EURUSD concurrently on the same platform! https://t.co/Ut05pyrbV8 https://t.co/Uk8I33EbID,AAPL
176,2020-06-25 16:30:41+00:00,"@michael_venuto @leadlagreport @novogratz @ETFProfessor @DavidDziekanski Can one of you please bring up #gold?

Gold continues to outperform crypto in this environment. Investors have spoken. $BTC is second fiddle to $GLD as money supply increases and dollar is set for large drop. 

Want to benefit from digital payments? Buy $PYPL $SQ $V $MA.",V
179,2020-06-24 16:15:04+00:00,Huge variation: Nike  Inc. Common Stock $NKE 98.4300 down -3.4243% 12:00 https://t.co/Pa7hlovGSJ  #stocks,NKE
180,2020-07-11 08:19:21+00:00,RT @musicnews360: Utah governor declares state of emergency due to ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc #foxbusi…,TSLA
181,2020-07-06 14:17:15+00:00,"$SQ lottos +1,100%
$TWLO lottos +50%
$TDOC lottos +125%
$JPM lottos +90% 
✅",JPM
183,2020-07-10 18:32:18+00:00,$UAVS has $AMZN written all of it.   Increasing headcount 1000%.   Business must be booming.,AMZN
184,2020-06-22 13:34:07+00:00,RT @MaisaCorp: $DIS Disneyland Paris To Begin Phased Reopening Beginning July 15,DIS
187,2020-05-03 16:08:21+00:00,💯🔛🖥@Microsoft: Microsoft is infesting Windows 10 with annoying ads https://t.co/jLbj5vMmpo $MSFT #Microsoft #Technology #Tech #MSFT #digitaltransformation https://t.co/TtQlml3Mft,MSFT
188,2020-04-14 11:22:42+00:00,"#20Kto100KChallenge in 6 months

It’s the last week to get into the challenge.

Mostly spreads (debit/credit) and swing single legs options.

$499 to get in or subs to Full Member access $199/months.

https://t.co/rx8lGRGBgh - $SPY $AMZN $NFLX $JPM $JNJ $FB $BTC",NFLX
192,2020-05-08 05:33:49+00:00,Apple $AAPL PT Set at $325.00 by UBS Group https://t.co/1tzRQgWzDR,AAPL
193,2020-05-28 15:34:33+00:00,RT @Sarge986: What to Expect When Marvell Technology Reports Thursday $VEEV $COST $AMZN $WMT $CRM $ZS $NVDA $MRVL  https://t.co/Q1C7C7miK3…,WMT
196,2020-04-14 12:24:30+00:00,"RT @WilfredFrost: $JPM release on #PaycheckProtectionProgram - 300k applications; $36bn of loans, of which $8bn has been funded.",JPM
202,2020-07-03 14:26:28+00:00,RT @SheepKnowMore: The $FB video share of #Covid911 - INSURGENCY that got 5m views and 100k shares was just censored. Even though every fac…,FB
205,2020-06-02 21:17:43+00:00,"@RiskReversal just made a compelling argument for selling out of $FB rn! 

Forget history judging Zuckerberg roughly, the next 6 polarizing months is going to continue to pound the stock, if you believe there will be sustained pressure on the company leading up to the election!",FB
207,2020-06-07 15:12:44+00:00,"$SPX $SPY $NDX $DIA $QQQ 
$WYNN ...
New... Viva Las Vegas ... https://t.co/8hRUqm8VK1",WYNN
208,2020-07-06 21:01:42+00:00,RT @baylounging: $FB nice improvement https://t.co/1vOCPqIgnE,FB
211,2020-06-16 21:42:21+00:00,"RT @almostjingo: No comments on $GOOG watch, no #freespeech unless it’s ORANGE MAN BAD. https://t.co/oIaGHzODaM",GOOG
213,2020-04-29 13:21:34+00:00,"RT @JesseCohenInv: Happy Wednesday!

Here Are My #Top5ThingsToKnowToday In Financial Markets:

- $BA $GE $MA Earnings In The Morning
- $MSF…",MA
219,2020-04-20 01:16:02+00:00,"$SNE SONY $300 ""Sony’s Gaming business is currently experiencing accelerating growth 
trends driven by the “stay at home” economy. Sony remains one of the cheapest large cap 
tech stocks in the world."" Third Point Dan Loeb #StayHome #StayAtHome #nikkei $AAPL $NFLX $RKUNY $CMCSA https://t.co/x8i6jRzCEg",NFLX
222,2020-05-05 19:41:32+00:00,"$ITOX .01s getting slapped. Nothing on L2 till 2 cents
$SPY $SPX $QQQ $ES_F $NQ_F $RTY_F $ZB_F $GC_F $NDX $RUT $AAPL $NFLX $AMZN $TSLA $FB $MSFT $DIA $NDX $IWM $QCOM $GDX $DAX $BYND $TWTR $GLD $SLV $GE_F $BABA $TLT $LYFT $VXX $TVIX $VIX $XLE $XOM $JPM $GS $GOOG $DIS $IBM #Options https://t.co/ZLFlzyeOtG",DIS
227,2020-05-28 08:34:01+00:00,"RT @Tickeron: $AAPL enters an Uptrend as Momentum Indicator exceeded the 0 level on April 29, 2020. View odds for this and other indicators…",AAPL
232,2020-06-17 12:59:42+00:00,"RT @Lakshmi_888: Harmonics #Charts #trading $SPX #SPX #ES_F $ES $ES_F $SPY $DOW #DOW $RTY $RUT #DAX #FTSE $NQ #NQ 

Broken red equilateral…",ES
233,2020-06-23 11:39:47+00:00,China's annual dog-meat fair opens; activists ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc #foxbusiness #business #money #entrepreneur #trading #investing #investment #stock #stockmarket #forex #crypto #cryptocurrency #Bitcoin #Ethereum #Coinbase #Robinhood https://t.co/6CkeGZzEEC,TSLA
236,2020-04-09 00:00:03+00:00,"$HEXO target price is $2.21, HEXO has a upside of 327.2% from its current price of $0.52

#stocks #investment #CNBC #trading #NASDAQ #news #daytrade #pennystocks #potstocks $TSLA $TLRY $CGC $FB $SNAP $AMRX $COKE $PEP $BYND $ZM $WMT $COST $AMZN $TGODF $KGKG
https://t.co/I7lRxme2iw",WMT
240,2020-04-17 19:07:37+00:00,"$VZ $ZM $SPY $DIA 
https://t.co/MWvubLuMMT

Verizon pays under $500 Million for Zoom rival called “BlueJeans”... 

Will be interesting what $VZ decides to do with it. Trouble on the way for $ZM",VZ
245,2020-06-25 14:22:01+00:00,$ITOX WHY DO INSIDERS OWN 17.7% of the shares?💸📈 $ACB $APHA $CRON $TRTC $CANN $GWPH $MCIG $MJNA $AMMJ $GRNH $CARA $CANA $CGRW $CBDS $CLSH $CODI $CVSI $DIGP  $MDCL $MNTR $MJNE $MYDX $NMUS $NTRR $NHLE $NDEV $OXIS $PRRE $RMHB $SPRWF $SRNA $TLRY $CAT $TSLA $GS $MGM $JNJ $PFE $MRK https://t.co/kc8P0idKq1,TSLA
246,2020-06-26 05:00:06+00:00,Great chart by @BTstocktrading !! $AMZN https://t.co/n1ZJQERYa7,AMZN
247,2020-05-29 15:18:20+00:00,"Also note --

$ES LOD = 3001.75.

So far Bears are unable to press below $ES 3000 Round Level.

$ES $ES_F $SPX $SPY $NQ $NQ_F $NDX $QQQ $RTY $RTY_F $RUT $IWM $YM $YM_F $DIA https://t.co/ndzQblmraX",ES
251,2020-06-21 18:28:06+00:00,Anthem Inc $ANTM Sees Large Drop in Short Interest https://t.co/Mygtp433Yu #stocks,ANTM
254,2020-06-13 05:45:58+00:00,River &amp; Mercantile Asset Management Has $13.01 Million Stock Position in Johnson &amp; Johnson $JNJ https://t.co/kS94rBNj0C,JNJ
255,2020-06-16 18:49:57+00:00,NextEra Energy's Utilities Fall Short in Energy Efficiency @themotleyfool #stocks $NEE $DUK https://t.co/tQ79w62yLC,NEE
257,2020-05-04 15:01:26+00:00,"@andydicesorkin Yes, especially for companies with extensive interests in China.

Not meant to be a political statement, nor an endorsement of any particular policy, but I put the chance of the White House ""punishing"" China in some fashion within the next 30 days at 100%. $WYNN $AAPL $BA",WYNN
259,2020-06-20 18:33:33+00:00,Kansas City Southern $KSU Given Consensus Recommendation of “Hold” by Brokerages https://t.co/eRZaPC4phY #stocks,KSU
260,2020-05-07 16:50:25+00:00,"$FB 30 minute

Had a test of wedge resistance, faded a bit from that resistance area. https://t.co/tfRjAXxLPF",FB
261,2020-04-20 13:45:55+00:00,"Keep adding companies with strong balance sheets and sustainable dividends to your portfolio.

Increasing cash deployment target to 65% with this oil related dip.

Looking at $IBM $ITW $LEG $JNJ today.",LEG
264,2020-06-22 15:55:30+00:00,$AAPL - Apple's chip will outperform Intel's Macs - analyst https://t.co/JJB5jTpGyf #BUYAAPL,AAPL
265,2020-07-15 15:08:53+00:00,"RT @HarmonicCharts: #Harmonics #Charts #trading $SPX #SPX #ES_F $ES $ES_F $SPY $DOW #DOW $QQQ $DIA $YM $RTY $RUT #DAX #FTSE $NQ #NQ

Purple…",ES
267,2020-06-22 14:07:18+00:00,"The #StockMarket bounced last week as the #economy kept improving. But will it last as #coronavirus cases increase? Here are the key things to watch this week. $AAPL $NKE #FederalReserve

https://t.co/TDLSGOFoiQ",NKE
273,2020-06-14 02:30:06+00:00,"@vincent13031925 also 2013, but I sold. Also sold 6000 shares of $AMZN @ $4.50 in 1998. Like Ron Barron, I'm not making the same mistake with $TSLA this time.",TSLA
278,2020-06-05 15:36:12+00:00,You can take profits on $AAPL and $CVS,AAPL
279,2020-06-10 13:20:07+00:00,RT @TommyTheBull287: $AAPL I am in $350 call swing a lot of resistance picking back up on $350 trend will see https://t.co/I1DODV7xRx,AAPL
281,2020-04-27 19:18:49+00:00,$FB Delta expiration 05/01/2020 #maxpain #options https://t.co/bDhWihGdXA https://t.co/kdT3d7LjyS,FB
282,2020-05-28 02:40:54+00:00,"RT @RodBoydILM: $FB is becoming indistinguishable from Fox News. 
Or is it the other way around?",FB
296,2020-06-08 05:45:53+00:00,"Amazon isn’t the only e-commerce company thriving. $AMZN shares have climbed &gt;30% this year. But some online retailers are faring even better. Shares of Wayfair, the online furniture and home goods seller, have doubled in price in 2020. /via @qz https://t.co/GQOmMzgcF9",AMZN
297,2020-04-15 21:42:42+00:00,"@SullyCNBC ICYMI we replaced $FAANG w/ $WACT - $WMT $AMZN $COST $TGT #deathofretail

cc: @RiskReversal @GuyAdami @JeffMacke https://t.co/clNllypHuT",WMT
298,2020-06-18 12:02:02+00:00,"RT @Sarge986: Sizzling Nasdaq, Covid Crossroads, Coins Collect Dust, Thoughts on BP $KR $KFY $JBHT $LSTR $UPS $FDX $AMZN $MA $DIS $AAPL $FB…",DIS
303,2020-04-17 00:09:06+00:00,RT @realwillmeade: Netflix $NFLX now has a bigger market cap than Disney $DIS but if 29 states open up on May1st and sports are back on ($D…,DIS
309,2020-07-07 20:30:36+00:00,REPORT: Facebook fails to win over ad boycott organizers $FB https://t.co/csoywrk0MP,FB
310,2020-04-10 15:56:50+00:00,"RT @gholland04: 💥💥💥 Obama administration repeatedly sought to cut PPE stockpile ...

... and with $T deficits the Dems are trying to Blame…",T
311,2020-07-12 12:53:44+00:00,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)💥

Mon: $PEP 
Tues: $JPM $C $WFC $DAL $FAST
Wed: $GS $PNC $BK $UNH…",WFC
312,2020-06-24 03:25:04+00:00,"With past performance like this, how can you not sign up for a Free 10-day trial to https://t.co/dciVAHNRLf? Winning Option Swing Trades Since 2006  $AMZN $GOOGL $NFLX $FB $AAPL",NFLX
314,2020-04-29 20:15:48+00:00,$FB reports FQ1 earnings of $1.71 EPS and $17.74B Revs - https://t.co/g6Ov8jwf4X,FB
316,2020-06-10 01:23:47+00:00,"Target Locked $KO 
This looks bad, sell at $49.00 
Take Profit: $47.71 
Stop Loss: $49.49 
Trade with us:https://t.co/injT0PPxiC 
$TSLA $SPY $AAPL #Forex https://t.co/Honl7d4u7m",TSLA
317,2020-07-12 00:29:05+00:00,"RT @RisingSunCap: Isn’t $DIS a short on lackluster #reopening follow thru like the casinos in early-to-mid June?

Cc: @RichLightShed https:…",DIS
322,2020-06-16 14:35:33+00:00,"$NVDA $INTC both downgraded today, fwiw.",NVDA
326,2020-06-29 02:25:02+00:00,"Are you ready for your 10-Day free trial, No credit Card required. Begin growing your portfolio with OptionAlarm Option Swing Trades today! https://t.co/7I5Am7xkYr $AAPL$NVDA $MSFT",NVDA
329,2020-04-28 17:14:33+00:00,"@HillaryClinton @JoeBiden 3 perverts. #metoo FOUNDATION -- all tax-free

$DJIA $SPX $NDX $IWM $AMZN $GOOGL $GS $FB $TWTR https://t.co/IwndRrSqLL",TWTR
335,2020-04-13 17:30:05+00:00,RT @ReformedBroker: Amazon is less than 2% away from a record high. $AMZN is 10% or so of the QQQ's https://t.co/ejWq3o2AuA,AMZN
339,2020-06-25 15:58:57+00:00,Pilots in Pakistan air crash distracted by ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc #foxbusiness #business #money #entrepreneur #trading #investing #investment #stock #stockmarket #forex #crypto #cryptocurrency #Bitcoin #Ethereum #Coinbase #Robinhood https://t.co/8f5TNzCEOd,TSLA
344,2020-07-16 21:03:01+00:00,"Watching Mark Zuckerberg interview Dr. Fauci on Facebook Live $FB #COVID19 
https://t.co/QuOzCOfasb https://t.co/DQEfxFaIIX",FB
349,2020-06-29 11:34:26+00:00,$FB puts gonna slap today,FB
353,2020-06-17 00:27:42+00:00,"RT @SoccerMomTrades: This is how I see $ES right now...bearish bias under $3232 . The closer you open your short to that zone, the better y…",ES
363,2020-07-14 15:40:13+00:00,RT @MinteractApp: #Options Flow Stream Update $AAPL $AMZN $TSLA $MSFT $BABA $SQ $SPY $NDX $QQQ $SPX #OptionsTrading #OptionsFlow #optionstr…,TSLA
364,2020-04-28 02:57:42+00:00,Microsoft Inks 5-Year Deal with Coca Cola @themotleyfool #stocks $MSFT $KO https://t.co/zgkeIEZreb,MSFT
366,2020-06-04 20:18:38+00:00,"RT @tq_equities: $AAPL closes within previous day's range after lackluster session: https://t.co/7SICEsT52n
Sentiment: Neutral #AAPL #Apple",AAPL
367,2020-05-08 11:51:56+00:00,RT @NorthmanTrader: If $AMZN employs all of us we can deliver our own packages to our houses.,AMZN
374,2020-04-17 19:07:07+00:00,@DougKass @realmoney I piled a lot of $C and $BAC as mid-term investments as I share your view on them.,C
375,2020-05-04 15:09:34+00:00,RT @305trdr: Nice call on $AAPL this morning by @trickmitch1 them levels are fire!!!!,AAPL
377,2020-06-02 17:13:04+00:00,"#SelfieCompassion: Bill Clinton ""I feel your pain"" from Rich White #NeverTrump 1% Elitists @DNC. Ditto Parasites like $23 billion Leona Laurene Jobs at $AAPL $AMZN $FB $VZ $BA $MSFT $GE $GOOGL $IBM Bob Iger $DIS $ACN $CTSH $TCS $WIT $HCL $T $VZ $CERN #Cerner Deloitte Consulting https://t.co/J68D9Ynats",DIS
379,2020-06-05 02:40:40+00:00,$GOOG #patent 20200177664 SYSTEMS AND METHODS FOR ACCESSING MULTIPLE RESOURCES VIA ONE IDENTIFIER #tech #IP #research https://t.co/QGn9UTcRuQ,GOOG
383,2020-04-13 08:57:57+00:00,Recent Research Analysts’ Ratings Changes for Apple $AAPL https://t.co/QejOwiVRF8,AAPL
391,2020-07-13 17:03:11+00:00,"RT @financeasmr: Facebook $FB has so many issues from regulators and clients

Rizzle doesn’t 

If you are a venture capital invester consid…",FB
392,2020-06-23 22:59:17+00:00,"RT @m0322701: Market caps:

$AMZN - 1380B USD
$GOOGL - 997.06B USD
$LINK - 1.68B USD

Early is an understatement.",AMZN
397,2020-07-10 14:28:27+00:00,"is a dem sweep is going to be a problem for names like $V and $MA? 🤔 // Credit Cards Take From Poor, Give to the Rich https://t.co/TMhKpnTT3h",V
405,2020-06-09 18:12:22+00:00,"Will today be 5 days in a row that our 8:45amET analytics is within $0.04 of HOD?   StayTuned

#CL_F #CL $CL_F $CL #OIL #Futures

$BDO $ES $APC #CRUDE $UCO $SPX $RIG #fintwit #Energy $SPY $ES_F #ES_F #ES $NQ_F $NQ $XLE #OPEC #CrudeOil $USO #WTI #DayTrading
https://t.co/7CXK7vJSIM",ES
406,2020-04-13 19:54:14+00:00,The web/tech leader companies from the last 5 years leading in the shutdown $AMZN $NFLX is not all that surprising and I'd like to see more broad based strength (25% in 13 days is good I'm not dumb) to recover with. Let's see if they STFR in $SPX into close,NFLX
411,2020-04-18 12:25:03+00:00,"There are no free lunches 
Oil $50 #HOLD $2,000 in weeks #bullish $UCO $JNUG $NUGT taking off soon exponential upside
#Coronavirus the moment for #helicoptermoney https://t.co/OvtQRE3qXf $JNUG $NUGT $UCO $ERX $OIL $EWJ $EWG $EWL $EWP $EWN $GDX $MS $SAN $JPM $GDXJ #HelicopterMoney",MS
415,2020-04-17 14:34:16+00:00,$AMZN 2266 is today target.,AMZN
417,2020-04-26 00:25:37+00:00,Analysts Anticipate Pentair PLC $PNR to Announce $0.44 Earnings Per Share https://t.co/tiXqVblfr3 #stocks,PNR
418,2020-04-16 20:45:19+00:00,"@NorthmanTrader @JeffBezos He going for a trillion $ when $AMZN hits $20,000 a share",AMZN
421,2020-07-13 14:32:16+00:00,@Sandro_power $AAPL win,AAPL
